text	label
I smell gas and I hear a hissing sound in my basement.	0
There’s a car accident on the highway and people are injured.	2
Someone broke into my apartment and stole my laptop.	1
I’m having chest pain and difficulty breathing.	2
There’s a fight outside my bar and someone has a knife.	1
My cat is stuck on a tree and I can’t get her down.	0
I’m allergic to bees and I just got stung.	2
There’s a suspicious package in front of the bank.	1
My oven is smoking and I can’t turn it off.	0
I witnessed a hit-and-run and I have the license plate number.	1
I’m having a heart attack and I can’t breathe!	2
There’s a huge fire in the apartment building across the street!	0
Someone broke into my car and stole my wallet and phone!	1
My daughter is choking on a piece of candy and she’s turning blue!	2
There’s a fight in the bar and someone has a knife!	1
I smell gas in my kitchen and I think there’s a leak!	0
My husband fell down the stairs and he’s not moving!	2
There’s a robbery in progress at the bank and I’m hiding in the bathroom!	1
My neighbor’s dog bit me and it won’t let go!	2
There’s a tree that fell on the power lines and it’s sparking!	0
I cut my finger while cooking and it won’t stop bleeding!	2
There’s a cat stuck in the tree and it’s meowing loudly!	0
Someone stole my bike from the park and I saw them riding away!	1
I have a severe allergic reaction to something I ate and I need an EpiPen!	2
There’s a loud party next door and they’re playing music all night!	1
I left a candle burning in my bedroom and I see smoke coming out!	0
My son has a fever and a rash and he’s very lethargic!	2
There’s a suspicious person lurking around the school and he’s wearing a mask!	1
I stepped on a nail and it went through my foot!	2
There’s a power outage in my neighborhood and I don’t know what to do!	0
I slipped on the ice and I think I broke my arm!	2
There’s a car accident on the highway and there are injuries!	0
Someone is following me and I’m scared!	1
I have a severe headache and blurred vision and I can’t drive!	2
There’s a bear in my backyard and it’s trying to get into my house!	1
I smell smoke in the hallway and I hear the fire alarm!	0
My grandmother is unconscious and she’s not breathing!	2
There’s a shooting at the mall and I’m hiding in a store!	1
I have a deep wound in my leg and it’s infected!	2
There’s a flood in my basement and the water is rising!	0
I'm having chest pain and difficulty breathing.	2
There's been a car accident on the highway and people are injured.	2
There's a fire in the building, and I can't find a way out.	0
Someone is breaking into my house right now.	1
I'm having a seizure and can't control my movements.	2
There's a gas leak in my house, and I can smell it.	0
There's a dangerous animal loose in my neighborhood.	1
My child has stopped breathing and is turning blue.	2
I've been in a serious accident, and I'm trapped in my car.	1
I think I'm having a heart attack.	2
I'm having chest pain and difficulty breathing.	2
There's been a car accident on the highway and people are injured.	2
There's a fire in the building, and I can't find a way out.	0
Someone is breaking into my house right now.	1
I'm having a seizure and can't control my movements.	2
There's a gas leak in my house, and I can smell it.	0
There's a dangerous animal loose in my neighborhood.	1
My child has stopped breathing and is turning blue.	2
I've been in a serious accident, and I'm trapped in my car.	1
I think I'm having a heart attack.	2
There's a fire in my kitchen, and I can't put it out.	0
I smell gas and think there might be a gas leak in my house.	0
There's a wildfire near my house, and I'm afraid it might reach my property.	0
There's smoke coming out of my neighbor's house, and I'm afraid they might be in danger.	0
My car is on fire, and I can't get out.	0
There's a fire in the building I'm in, and I need help evacuating.	0
There's a fire in the forest near my hiking trail, and I'm afraid I might get trapped.	0
I accidentally started a fire in my backyard, and I can't control it.	0
There's a fire in the power lines near my house, and I'm afraid it might spread.	0
There's a fire in the factory where I work, and I need help getting out.	0
There's someone trying to break into my house, and I'm home alone.	1
I witnessed a hit and run accident, and I have the license plate number.	1
My neighbor is playing loud music at 3 am, and I can't sleep.	1
There's a person walking around with a weapon, and I'm afraid they might hurt someone.	1
I'm being followed by a suspicious person, and I don't feel safe.	1
I saw someone breaking into my neighbor's car, and I have a description of the suspect.	1
My car has been stolen, and I need to report it to the police.	1
There's a drunk driver on the road, and they're swerving all over the place.	1
I'm being threatened by someone, and I'm afraid they might hurt me.	1
I heard gunshots in my neighborhood, and I think someone might have been shot.	1
I'm having a heart attack, and I need an ambulance.	2
My child is choking and can't breathe.	2
I fell down the stairs and broke my leg.	2
I have a severe allergic reaction, and I can't breathe.	2
I'm having a seizure, and I can't control my body.	2
My partner has fainted, and I can't wake them up.	2
I have a deep cut, and it won't stop bleeding.	2
I'm having a severe migraine, and I can't stand the pain.	2
My baby is unresponsive, and I don't know what's wrong.	2
I'm experiencing shortness of breath and chest pain, and I think I might have COVID-19.	2

Victim: There’s a fire in my house! Operator: Okay, stay calm. What’s your address? Victim: [gives address] Operator: Help is on the way. Can you tell me if everyone is out of the house? Victim: Yes, everyone is out, but my cat is still inside. Operator: Understood, we’ll do our best to rescue your pet. Stay outside and wait for the firefighters.	0

Victim: There’s a fire in my apartment building Operator: Are you inside your apartment? Victim: Yes, but I can’t get out because of the smoke. Operator: Okay, stay near a window and cover your mouth with a wet cloth. The firefighters are on their way. Can you tell me which floor you’re on? Victim: 3rd floor, apartment 305. Operator: Got it. Stay on the line with me until help arrives.	0

Victim: My car is on fire! Operator: Are you inside the car? Victim: No, I’m standing next to it. Operator: Okay, stay back and don’t approach the vehicle. We’ll send the fire department to put out the fire. Can you tell me your location? Victim: I’m on the highway, near exit 23. Operator: Understood. Stay on the line with me until the firefighters arrive.	0

Victim: There’s a fire in my restaurant! Operator: Is everyone out of the building? Victim: Yes, everyone is safe, but the fire is getting bigger. Operator: Okay, stay outside and wait for the firefighters. Can you tell me your address? Victim: [gives address] Operator: Thank you. Is there anything else you can tell me about the fire? Victim: No, please hurry!	0

Victim: I smell gas in my house! Operator: Okay, stay calm. Are you still inside the house? Victim: Yes, but I’m getting dizzy. Operator: Get out of the house immediately and wait outside. Do not turn on any lights or use any electronics. Can you tell me your address? Victim: [gives address] Operator: Got it. We’ll send the gas company to check for a leak. Stay on the line with me until help arrives.	0

 Caller: There's a fire in my kitchen! Operator: Is anyone injured? Can you get out safely? Caller: No, we're trapped! Please send help Operator: Stay calm, we're dispatching firefighters to your location. Keep the line open.	0

 Caller: My neighbor's house is on fire! Operator: Is anyone inside? Are they in danger? Caller: I don't know! There's smoke coming out of the windows! Operator: We'll send firefighters right away. Stay away from the house and keep the line open.	0

 Caller: Help! My baby's trapped in the bedroom! Operator: Is there a fire? Can you get out safely? Caller: There's smoke everywhere! I can't see anything! Operator: Stay on the line with me. Firefighters are on their way. Try to stay low and cover your mouth with a cloth.	0

 Caller: I'm trapped on the second floor of a burning building! Operator: Can you get to a window? Firefighters are on their way. Caller: I can't! The smoke is too thick! Operator: Try to find a towel or a shirt to cover your nose and mouth. Firefighters will be there soon.	0

 Caller: My car's on fire on the highway! Operator: Is anyone injured? Can you safely get out of the car? Caller: I'm out of the car, but I need help! Operator: Stay away from the car and wait for firefighters to arrive. They will handle the situation.	0

911 Caller: "Help! There's a fire in my kitchen!" 911 Operator: "Is everyone out of the house?" Caller: "Yes, we're all outside. Please hurry!" 911 Operator: "We have fire trucks on the way. Stay on the line with me."	0

